ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, TAGS, MENTIONS, HAS_COMMENTS
1562537986300644729, BWvQAUVgQ15, 183, 3, 2017-07-19 11:31:04, Embrace your inner superhero  and join us tomorrow night at Oxford Social Club! *Please note: We will be closed Friday for a private VIP party  but will reopen Saturday Night!, False, N/A, , and but , true
1559729987676840967, BWlRij1AKQH, 243, 1, 2017-07-15 14:32:05, Pour one up for the home team. Join us after the @padres @sfgiants game &amp; party at our place. #oxfordnights, False, N/A, oxfordnights , padres sfgiants , true
1558304621158497016, BWgNcv0AHr4, 168, 5, 2017-07-13 15:20:08, Dance like no one's watching tonight with @schoenypony! #oxfordnights  Guestlist Link in Bio, False, N/A, oxfordnights , schoenypony! Guestlist , true
1557831967506975427, BWeh-uzAErD, 258, 5, 2017-07-12 23:41:03, It doesn’t matter if the glass is half empty or half full  there’s always room for more! #OxfordNights  Guestlist Link in Bio, False, N/A, OxfordNights , there’s Guestlist , true
1554613269187259754, BWTGIgZA-1q, 217, 4, 2017-07-08 13:06:05, Saturdays are for the girls! The weekend continues TONIGHT with @DJCobra at #OxfordSocialClub! Click the link in our bio for guestlist consideration., False, N/A, OxfordSocialClub , DJCobra , true
1553891626592528031, BWQiDOWgGaf, 114, 3, 2017-07-07 13:12:18, Tonight the talented and beautiful @saintclairmusic makes her way back to Oxford Social Club! Click the link in our bio for guest list consideration!, True, 1640, , saintclairmusic , true
1553207515611689599, BWOGgGWgHJ_, 169, 2, 2017-07-06 14:33:06, We're getting back in the swing of things tonight Oxford Social Club with @Craig_Smoove!, False, N/A, , Craig_Smoove! , true
1551640949199745675, BWIiTjsADKL, 200, 3, 2017-07-04 10:40:36, Last night  @treysongz kicked off the holiday with us! In case you missed it  tune into our  LIVE story!, False, N/A, , @treysongz tune LIVE , true
1551592870891482182, BWIXX7Rg-xG, 130, 1, 2017-07-04 09:05:05, Happy 4th of July from us 🇺🇸! Hope you're enjoying the day with friends and family. We'll be back in action on Thursday night with Craig Smoove!, False, N/A, , , true
1551097106977211495, BWGmpnJg0Rn, 194, 2, 2017-07-03 16:40:05, We're OPEN tonight with a very special appearance by @TreySongz!, False, N/A, , TreySongz! , true
1550384399785285720, BWEEmW2glhY, 225, 8, 2017-07-02 17:04:04, @TreySongz | July 3 at Oxford Social Club. #BeSophisticated or don't.  Limited tables left  click the link in our bio to reserve!, False, N/A, BeSophisticated , TreySongz Limited click , true
1543072230966289457, BVqGAS9g-Qx, 120, 1, 2017-06-22 14:56:06, Pour up &amp; wind down with us all weekend long starting tonight with Ayla Simone., False, N/A, , , true
1541639279300635803, BVlAMGugOyb, 146, 2, 2017-06-20 15:29:04, Be So·phis·ti·cat·ed  or don't... Thursday: Ayla Simone Friday: @djspider Saturday: @djwellman, False, N/A, , or djspider djwellman , true
1540151976820480172, BVfuBAWgBis, 118, 2, 2017-06-18 14:14:04, Passionate from miles away... #oxfordnights -------------------------------------------------- We're in recovery mode from last night., False, N/A, oxfordnights , , true
1539362783022434888, BVc6kuWgkpI, 98, 1, 2017-06-17 12:06:05, Tonight will be ABSOLUT® chaos with Steve1der 🍾, False, N/A, , , true
1538035531299039355, BVYMyq3Aih7, 159, 1, 2017-06-15 16:09:04, Big dreams  good music and expensive taste. #oxfordnights  Meet us under the chandelier for @djdecon tonight!, False, N/A, oxfordnights , good Meet djdecon , true
1538028723801123223, BVYLPm4g2mX, 109, 7, 2017-06-15 15:55:33, [ Press Play ▶️] In case you missed it  last Friday was one for the books with @PostMalone in the house! #OxfordNights, True, 907, OxfordNights , last PostMalone , true
1537365120131304898, BVV0W5zgI3C, 146, 1, 2017-06-14 17:57:05, "say when" ... *silence*  Let our bartenders take care of you all weekend long. #oxfordnights  Thursday - Decon Friday - Dynamiq Saturday - Steve1der, False, N/A, oxfordnights , Let Thursday , true
1536497426234521568, BVSvES5Arfg, 139, 2, 2017-06-13 13:13:08, Wash away your sins &amp; party with us again. #oxfordnights  Thursday: Decon Friday: @djdynamiq Saturday: Steve1der, False, N/A, oxfordnights , Thursday: djdynamiq , true
1536061525918373197, BVRL9HFglVN, 207, 3, 2017-06-12 22:47:04, Showing love to our favorite decades tonight! #IndustryNight at Oxford Social Club kicks off NOW., False, N/A, IndustryNight , , true
1535682025854354339, BVP1qqHAEOj, 183, 1, 2017-06-12 10:13:05, Never let go of what's important... Get RAD with us tonight for a very special #INDUSTRYNIGHT at Oxford Social Club!, False, N/A, INDUSTRYNIGHT , , true
1534999026062109802, BVNaXs_AKxq, 176, 4, 2017-06-11 11:36:05, &amp; today we recover till RAD kicks off! Come RELIVE ANOTHER DECADE with us tomorrow &amp; get RAD! #oxfordnights, False, N/A, oxfordnights , , true
1534356804308383467, BVLIWJXgTbr, 156, 3, 2017-06-10 14:20:06, It's game day ⚾ grab your girls &amp; meet us for another round of #oxfordnights, False, N/A, oxfordnights , , true
1532871008590118076, BVF2g-Rgjy8, 162, 3, 2017-06-08 13:08:05, Catch us in our good light. See you under the chandelier tonight &amp; get back to the booze at the Official Industry Boxing After Party! #oxfordnights, False, N/A, oxfordnights , , true
1532823689912085469, BVFrwZUg2vd, 130, 0, 2017-06-08 11:34:04, Now here's a throw back: It’s Slinky; it’s Slinky. For fun it’s a wonderful toy. It’s fun for a girl and a boy.  Join us this upcoming Monday &amp; RELIVE ANOTHER DECADE! #oxfordnights, False, N/A, oxfordnights , Join , false
