ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, USERS_LIKED, TAGS, MENTIONS, HAS_COMMENTS
1670635265830210384, BcvSexBDMtQ, 261, 9, 2017-12-15 14:01:04, Join us tonight for plenty of champagne and sounds by @DJMikeAttack!, False, N/A, frankiiboii89 fitandfierce1 mujermaravilla27 sineadalice smontess bridgetphl2las raulmeza83 mrdh87 ayoomiggs nicholascrates , , DJMikeAttack! , true
1664865750538384159, BcaypRLjfMf, 105, 1, 2017-12-07 14:58:05, Perhaps we're all ready to kick off the weekend!? Join us tonight with sounds by @cheyennegiles #OxfordNights, False, N/A, michaeljunior__ nicotuxedo iamjroc chrisdolcesd josharevalo_ withlovedesirie mamaratonka.pl djque jcontrer1986 , OxfordNights , cheyennegiles , true
1661199589045016920, BcNxDmODZlY, 128, 1, 2017-12-02 13:34:04, We 💙 Saturday Nights at Oxford! Join us tonight with @TheDijital. Click the link in our bio for guest list and VIP Reservations., False, N/A, djsd_ anthony_afonsoo jvictoria04 arleneibarra money_aerial_media e___888 modont at__thisguy _sweet.dulce.soraya_ djque , , TheDijital. , true
1659761618416678201, BcIqGXtjbU5, 247, 3, 2017-11-30 13:57:05, Everything sparkles under the chandelier! Meet us tonight at Oxford Social Club with sounds by @DJDecon. Click the link in our bio for guest list consideration., False, N/A, salty_wolf chrisegura86 ljacq8 ell_jefe1 djdmiles lily_johnson linz0817 sirpearce colonelcopin jmoaddab , , DJDecon. , true
1655269011405833093, Bb4smVYjoOF, 165, 1, 2017-11-24 09:11:04, Join us TONIGHT for our #BlackFriday specials at Oxford Social Club. Book a VIP Table and receive your first bottle for only $100 and $5 select cocktails until midnight.  Click the link in our bio for guest list., False, N/A, coach019 sabrina.1lene seancharsley cel_nuncio money_aerial_media jbladow nickviciouss cosmeticindustrypro ramone_russell annaleyendekker , BlackFriday , Click , true
1651149863998223015, BbqEA2ajHKn, 211, 4, 2017-11-18 16:47:03, Never a dull moment once you arrive at Oxford Social Club. Join us tonight featuring sounds by @DJBobbyFrench.  For Guest List Consideration  click the link in our bio!, False, N/A, tinacama smmurtha itz._.dez marcoag7 realtortylerjones 3rik_navarro sarah_renee94 teresatripp mar.sol.love jillianberres , , DJBobbyFrench. For click , true
1648975032297147889, BbiVg4jj03x, 226, 4, 2017-11-15 16:46:03, Kick off the weekend in style at Oxford Social Club. THU: @DJKaosSD FRI: @DJerock SAT: @DJBobbyFrench  For Guest List Consideration  click the link in our bio!, False, N/A, stevelivinfit karinnashley elizabethhcb arkin619 shopoverload madeinam_erika addypadilla salty_wolf fitandfierce1 , , DJKaosSD DJerock DJBobbyFrench For click , true
1645336484071154766, BbVaNCdDSRO, 144, 5, 2017-11-10 16:16:55, TGIF!! Join us tonight under the chandelier and let’s cheers to the weekend with sounds by @DJSpryte., False, N/A, karriegurl lextovar alishier1 raymiem tokenmcsmokes619 monzerack fvwnzho jonathanjttownsend djkyleflesch kalynnilene , , DJSpryte. , true
1639452781277182908, BbAgZ5ODXu8, 123, 3, 2017-11-02 14:27:03, We’re back at it tonight with @deejayal in the house at Oxford Social Club!  Click the link in our bio for guest list consideration. #OxfordNights, False, N/A, thejennwheezy michaeljunior__ ruccababy louisloother prince_chunk will_delosreyes kevmo25 djschoenyofficial fer.canto.11 christine_unruh , OxfordNights , deejayal Click , true
1637187219507384965, Ba4dRoZjBKF, 125, 1, 2017-10-30 11:27:25, The party continues TOMORROW night with our #CostumeContest at Oxford Social Club.  Dress up for a chance to WIN up to $10 000 in cash and prizes. Click the link in our bio for guest list &amp; VIP Reservations., True, 1520, djaylasimone fvwnzho rideplaytv tokenmcsmokes619 j_dubz89 kaylynsenna djschoenyofficial reza_raccoon king_gabriella joebrooksforever , CostumeContest , Dress , true
1630100680428342114, BafR-6lDcti, 174, 0, 2017-10-20 16:46:05, 1️⃣Party. 3️⃣ Venues. 1️⃣Ticket We invite you to experience the #HalloweenBall at Oxford Social Club  @LionfishSD  and @PoolHouseSD featuring special guests @MyFabolousLife &amp; @Bassjackers!  Your ticket gets you access into our multi-level party all night long with hosted cocktail hour including tray passed appetizers from 8-9PM. ✨Click the link in our bio for tickets &amp; VIP Reservations., False, N/A, eeelex.noble pattyccaakkee naj.naj2015 idofunshit ramon_urenaa scott_wellinger purple_lamborghini_90 lily_johnson djones_213619 lemonanne , HalloweenBall , @LionfishSD and PoolHouseSD MyFabolousLife Bassjackers! Your , false
1629392017467551838, Bacw2gxArBe, 96, 2, 2017-10-19 17:18:06, Raise your glass and let's cheers to the weekend at Oxford Social Club! Sounds by @DjKaos.  Click the link in our bio for guest list and VIP Reservations., False, N/A, louisloother alyssamopia tinacama antonellacooper slave2stylez kvng_jay0421 champagneallyear ryanlabbe samaccounting djque , , DjKaos. Click , true
1624965841277727883, BaNCdK9gLSL, 138, 1, 2017-10-13 14:44:05, Friday the 13th never looked better. Join us tonight at Oxford Social Club with @DJNeva!  Click the link in our bio for guest list consideration., False, N/A, fotobudz andrewdue brandond_lv rideplaytv fvwnzho msnichols86 josharevalo_ e___888 deejaylomo gil161 , , DJNeva! Click , true
1624210368442350965, BaKWrmDgz11, 181, 5, 2017-10-12 13:43:05, Meet us under the chandelier and let's kick off the weekend tonight with Deejay AL!, False, N/A, jmpetro georgettedr lewisphares philipagl drinkmagicbullet lexbogan valerie_victoria nunya_bizz_nasss theglobopreneur adamhahn , , , true
1619972662874935924, BZ7TI3MgRJ0, 227, 7, 2017-10-06 17:23:31, Celebrate the night at Oxford Social Club with sounds by @djmrbest! #OxfordNights  For guest list and VIP Reservations: TheOxfordSD.com, False, N/A, iannsolus steffaniegarciaa nicolextayl0r kimbellabella jmoaddab jenmen619 staytrue4real_ jennaspittler julzvelez ruccababy , OxfordNights , djmrbest! For , true
1618633177331557107, BZ2ikyEgmLz, 95, 1, 2017-10-04 21:02:12, @djdecon kicks off the weekend with us tomorrow at #OxfordSocialClub!, False, N/A, dveeezy_ its_zef cvaldez_25 fromri_to_sc slave2stylez ime_perez johannapartida sean.coughlin kvng_jay0421 djque , OxfordSocialClub , djdecon , true
1614812464048901041, BZo92Figgux, 164, 6, 2017-09-29 14:31:08, We're all smiles on #Friday! Join us tonight with @djmikeattack at Oxford Social Club. . Join us for another weekend at @TheOxfordSD. Click the link in our bio for guest list consideration., False, N/A, msnichols86 __samantha_s dj.dlion djmikeattack adamhahn djpetealexander lexie___f hugo_justice tommykennard ericaalexis , Friday , djmikeattack TheOxfordSD. , true
1613499227323838358, BZkTP-iAS-W, 248, 5, 2017-09-27 19:01:58, It all kicks off tomorrow night at Oxford Social Club with @djschoenyofficial! Click the link in our bio for guest list consideration or VIP reservations✨🍾, False, N/A, nicolextayl0r thefuerstlady nickkbarb lovelymisstyne somethinglovelyweddings millycroz robertc194 dennisjacobsmusic theglobopreneur tiffany__short , , djschoenyofficial! , true
